[2022-05-03 17:05:35,881] 'h'
[2022-05-03 17:05:36,058] 'e'
[2022-05-03 17:05:36,265] 'l'
[2022-05-03 17:05:36,385] 'l'
[2022-05-03 17:05:36,626] 'o'
[2022-05-03 17:05:36,961] Key.space
[2022-05-03 17:05:37,265] 'g'
[2022-05-03 17:05:37,442] 'u'
[2022-05-03 17:05:37,929] 'y'
[2022-05-03 17:05:38,057] 's'
[2022-05-03 17:05:39,921] Key.space
[2022-05-03 17:05:40,242] Key.space
[2022-05-03 17:05:40,585] Key.space
[2022-05-03 17:05:40,961] Key.space
[2022-05-03 17:05:41,586] 't'
[2022-05-03 17:05:41,705] 'h'
[2022-05-03 17:05:41,825] 'i'
[2022-05-03 17:05:42,010] 's'
[2022-05-03 17:05:42,177] Key.space
[2022-05-03 17:05:42,409] 'i'
[2022-05-03 17:05:42,505] 's'
[2022-05-03 17:05:42,657] Key.space
[2022-05-03 17:05:42,970] 'a'
[2022-05-03 17:05:43,130] Key.space
[2022-05-03 17:05:43,426] 't'
[2022-05-03 17:05:43,577] 'e'
[2022-05-03 17:05:43,793] 's'
[2022-05-03 17:05:44,009] 't'
[2022-05-03 17:05:45,161] Key.space
[2022-05-03 17:05:45,305] Key.shift
[2022-05-03 17:05:45,514] ':'
[2022-05-03 17:05:45,753] 'D'
[2022-05-03 17:05:47,297] Key.ctrl_l
[2022-05-03 17:05:47,401] '\x01'
[2022-05-03 17:05:47,593] Key.backspace
[2022-05-03 17:05:52,298] <195>
[2022-05-03 17:05:52,529] <195>
[2022-05-03 17:05:52,713] <195>
[2022-05-03 17:05:53,185] <195>
[2022-05-03 17:05:53,401] <214>
[2022-05-03 17:05:53,529] <195>
[2022-05-03 17:05:53,700] <214>
[2022-05-03 17:05:54,108] <214>
[2022-05-03 17:05:54,188] <211>
[2022-05-03 17:05:54,244] <213>
[2022-05-03 17:05:54,449] <212>
[2022-05-03 17:05:54,620] <214>
[2022-05-03 17:05:54,737] <211>
[2022-05-03 17:05:54,785] <211>
[2022-05-03 17:05:54,864] <211>
[2022-05-03 17:05:55,157] <214>
[2022-05-03 17:05:55,228] <211>
[2022-05-03 17:05:55,749] <195>
[2022-05-03 17:05:56,057] <205>
[2022-05-03 17:05:56,068] <203>
[2022-05-03 17:05:56,257] <197>
[2022-05-03 17:05:56,482] <203>
[2022-05-03 17:05:56,660] <198>
[2022-05-03 17:05:56,913] <208>
[2022-05-03 17:05:57,308] <195>
[2022-05-03 17:05:57,625] <197>
[2022-05-03 17:05:57,804] <204>
[2022-05-03 17:05:57,997] <198>
[2022-05-03 17:05:58,220] <196>
[2022-05-03 17:05:58,516] <202>
[2022-05-03 17:05:58,780] <201>
[2022-05-03 17:05:59,073] <199>
[2022-05-03 17:05:59,329] <200>
[2022-05-03 17:05:59,537] <199>
[2022-05-03 17:05:59,836] <200>
[2022-05-03 17:06:00,073] <196>
[2022-05-03 17:06:00,283] <195>
[2022-05-03 17:06:00,572] <197>
[2022-05-03 17:06:00,793] <198>
[2022-05-03 17:06:01,018] <196>
[2022-05-03 17:06:01,209] <195>
[2022-05-03 17:06:01,365] <195>
[2022-05-03 17:06:01,521] <195>
[2022-05-03 17:06:01,673] <195>
[2022-05-03 17:06:01,825] <195>
[2022-05-03 17:06:01,961] <195>
